Ticket_ID,Order_Timestamp,Location,Item_Sold,Quantity,Unit_Cost,Unit_Price,Total_Revenue,Total_Cost,Gross_Profit,Actual_Prep_Time_Min,Target_Prep_Time_Min,Time_Variance,Is_Late
TKT-000001,2026-04-13 20:20:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,29,15,14,Yes
TKT-000002,2026-06-29 20:49:00,"Viman Nagar, Pune",Spicy Miso Ramen,1,180,450,450,180,270,18,12,6,Yes
TKT-000003,2026-04-03 19:02:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,10,5,5,No
TKT-000004,2026-01-15 20:51:00,"Ravet, Pune",Spicy Miso Ramen,1,180,450,450,180,270,17,12,5,No
TKT-000005,2026-04-17 13:04:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,15,15,0,No
TKT-000006,2026-03-13 21:07:00,"Ravet, Pune",Premium Maharaja Thali,2,250,600,1200,500,700,33,20,13,Yes
TKT-000007,2026-01-21 22:47:00,"FC Road, Pune",Spicy Miso Ramen,2,180,450,900,360,540,15,12,3,No
TKT-000008,2026-04-13 20:49:00,"Viman Nagar, Pune",Berry Iced Tea,2,40,180,360,80,280,12,5,7,Yes
TKT-000009,2026-05-02 21:38:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,17,15,2,No
TKT-000010,2026-03-16 20:55:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,26,15,11,Yes
TKT-000011,2026-03-29 21:44:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,24,15,9,Yes
TKT-000012,2026-04-27 15:46:00,"Koregaon Park, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,21,20,1,No
TKT-000013,2026-04-10 20:14:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,18,5,13,Yes
TKT-000014,2026-04-14 19:22:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,18,5,13,Yes
TKT-000015,2026-06-01 22:07:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,18,5,13,Yes
TKT-000016,2026-05-11 22:51:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,17,15,2,No
TKT-000017,2026-05-30 22:49:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,15,12,3,No
TKT-000018,2026-02-22 20:42:00,"FC Road, Pune",Spicy Miso Ramen,2,180,450,900,360,540,14,12,2,No
TKT-000019,2026-01-02 22:53:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,17,5,12,Yes
TKT-000020,2026-03-29 22:16:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,28,15,13,Yes
TKT-000021,2026-06-07 22:43:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,23,12,11,Yes
TKT-000022,2026-02-07 19:04:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,14,5,9,Yes
TKT-000023,2026-05-10 17:54:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,16,12,4,No
TKT-000024,2026-01-21 21:08:00,"Ravet, Pune",Spicy Miso Ramen,1,180,450,450,180,270,19,12,7,Yes
TKT-000025,2026-06-10 19:58:00,"Ravet, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,11,5,6,Yes
